"Accident Year","Accident Date/Time","Cause Category","Cause Subcategory","Net Loss (Barrels)","Barrel loss (%)","Pipeline Location","Pipeline Type","Liquid Type","Liquid Ignition","Liquid Explosion","Pipeline Shutdown","Shutdown_hours","Property Damage Costs","Lost Commodity Costs","Public/Private Property Damage Costs","Emergency Response Costs","Environmental Remediation Costs","Other Costs","All Costs"
2010,"1/11/2010 14:47","MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0,0,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","YES",7.22,30000,415,10000,7971,308883,0,357269
2015,"6/18/2015 4:09","CORROSION","EXTERNAL",8000,100,"ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","NO",0,648703,162120,120000,96840,0,14784,1042447
2010,"1/11/2010 23:00","NATURAL FORCE DAMAGE","TEMPERATURE",2,3.77,"ONSHORE","TANK","CRUDE OIL","NO","NO","NO",0,5000,150,0,0,100,32600,37850
2016,"9/10/2016 17:15","CORROSION","EXTERNAL",7040,81.86,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","YES",306.48,513000,297440,0,750000,600000,0,2160440
2010,"1/12/2010 14:30","INCORRECT OPERATION","INCORRECT INSTALLATION",0,0,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","NO",0,2500,0,0,30000,0,0,32500
2010,"1/12/2010 19:08","MATERIAL/WELD/EQUIP FAILURE","ENVIRONMENTAL CRACKING-RELATED",445,100,"ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","YES",187.43,175000,34000,68000,324000,1901615,15000,2517615
2010,"1/13/2010 7:36","NATURAL FORCE DAMAGE","TEMPERATURE",3.49,100,"ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","NO",0,0,254,0,0,0,0,254
2010,"1/13/2010 13:30","MATERIAL/WELD/EQUIP FAILURE","ENVIRONMENTAL CRACKING-RELATED",0,0,"ONSHORE","TANK","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,0,504,0,0,30000,0,30504
2010,"1/13/2010 15:30","INCORRECT OPERATION","OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP",0.48,100,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","NO",0,0,34,0,0,64645,2000,66679
2010,"1/14/2010 13:15","NATURAL FORCE DAMAGE","TEMPERATURE",0.04,16.67,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","NO",0,5000,17,0,50000,20000,0,75017
2010,"1/15/2010 7:05","OTHER OUTSIDE FORCE DAMAGE","VEHICLE NOT ENGAGED IN EXCAVATION",0,0,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","NO",0,0,75000,0,1000000,3500000,0,4575000
2012,"12/19/2012 1:23","CORROSION","EXTERNAL",6719,100,"ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","YES",78.48,50000,205891,1000,0,0,0,256891
2010,"1/18/2010 10:00","MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",2,100,"ONSHORE","TANK","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","NO",0,1000,100,0,0,0,0,1100
2010,"1/19/2010 13:10","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0.89,49.72,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,3500,500,0,10000,12000,0,26000
2010,"1/19/2010 20:00","MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",1,33.33,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","YES",13.48,41000,85,0,5100,0,0,46185
2010,"1/21/2010 9:30","MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0,0,"ONSHORE","TANK","CRUDE OIL","NO","NO","NO",0,1200,150,0,2000,4457,0,7807
2010,"1/21/2010 12:30","NATURAL FORCE DAMAGE","TEMPERATURE",0,0,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","YES",8.08,85000,570,0,105000,10000,0,200570
2010,"1/21/2010 18:43","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0,0,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO",NA,0,2130,0,0,670,0,0,2800
2010,"1/22/2010 12:05","INCORRECT OPERATION","OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP",0,0,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,0,0,0,3623,3263,1981,8867
2010,"1/24/2010 12:30","MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",1,100,"ONSHORE","TANK","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","NO",0,2000,100,0,0,0,0,2100
2010,"1/25/2010 11:07","MATERIAL/WELD/EQUIP FAILURE","FAILURE OF EQUIPMENT BODY",0,0,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","YES",38.3,30000,0,0,600000,37000,0,667000
2010,"1/27/2010 15:30","ALL OTHER CAUSES","MISCELLANEOUS",0.6,100,"ONSHORE","TANK","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,50000,65,0,10000,0,0,60065
2010,"1/28/2010 11:00","OTHER OUTSIDE FORCE DAMAGE","VEHICLE NOT ENGAGED IN EXCAVATION",7,35,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","YES",6.92,500,420,0,750,9500,0,11170
2010,"2/2/2010 8:00","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",5,33.33,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO",NA,0,3000,500,0,2000,1000,0,6500
2010,"2/4/2010 15:10","NATURAL FORCE DAMAGE","TEMPERATURE",0.05,20.83,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO",NA,0,2500,35,0,0,1986,0,4521
2010,"2/6/2010 11:30","MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",1.33,44.33,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO",NA,0,100,200,0,3000,1500,0,4800
2010,"2/8/2010 12:20","MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",5,100,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","YES",46.03,230000,400,30000,120000,0,0,380400
2010,"2/9/2010 10:00","MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0,0,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO",NA,0,500,0,0,450,0,0,950
2010,"2/9/2010 15:25","NATURAL FORCE DAMAGE","TEMPERATURE",0,0,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,0,0,0,2314,3063,0,5377
2010,"2/16/2010 7:42","MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0,0,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,25900,15,0,1500,1900,1200,30515
2010,"2/17/2010 17:45","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0,0,"ONSHORE","TANK","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,1000,14,0,0,500,0,1514
2010,"2/19/2010 6:50","MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",0,0,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","YES",7,0,0,0,4400,12700,0,17100
2010,"2/20/2010 6:30","MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",2,25,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","YES",16.92,3449,152,0,5634,84278,0,93513
2010,"6/3/2010 19:13","CORROSION","EXTERNAL",4618,100,"ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","YES",118.28,65262,199000,0,40000,0,0,304262
2013,"9/3/2013 21:34","CORROSION","EXTERNAL",1935,70.31,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","YES",47.58,109184,217560,1045900,151051,200000,0,1723695
2010,"2/22/2010 10:56","INCORRECT OPERATION","INCORRECT VALVE POSITION",0.71,100,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,500,90,0,2200,6000,0,8790
2010,"2/23/2010 23:30","INCORRECT OPERATION","INCORRECT VALVE POSITION",28,100,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,0,2286,0,0,126721,0,129007
2010,"2/25/2010 4:50","INCORRECT OPERATION","PIPELINE/EQUIPMENT OVERPRESSURED",13718,100,"ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","YES",598.12,966352,622934,7500,3000,0,0,1599786
2010,"2/25/2010 10:00","MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0,0,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO",NA,0,15200,50,0,0,0,700,15950
2015,"5/19/2015 10:57","CORROSION","EXTERNAL",1834,62.51,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","YES",0,9868173,144000,0,90701042,22421933,19796736,142931884
2010,"3/1/2010 9:16","INCORRECT OPERATION","OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP",0,0,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","YES",2.77,0,80,0,0,3000,16000,19080
2010,"3/1/2010 11:50","ALL OTHER CAUSES","MISCELLANEOUS",2.99,100,"ONSHORE","ABOVEGROUND","CO2 (CARBON DIOXIDE)","NO","NO","YES",86.15,3500,10,0,0,0,0,3510
2010,"3/3/2010 22:20","MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",0.5,100,"OFFSHORE",NA,"CRUDE OIL","NO","NO","NO",0,100,75,0,598,0,0,773
2010,"3/4/2010 5:30","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0.8,10.15,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","YES",2,7000,500,13000,15000,27000,2500,65000
2010,"3/4/2010 23:00","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0.31,100,"ONSHORE","ABOVEGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","YES",11,13500,94,0,0,0,0,13594
2010,"3/8/2010 11:01","MATERIAL/WELD/EQUIP FAILURE","DEFECTIVE OR LOOSE TUBING/FITTING",1,1.19,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,0,90,0,5849,5348,0,11287
2010,"3/8/2010 11:30","NATURAL FORCE DAMAGE","TEMPERATURE",93,55.36,"ONSHORE","TANK","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,0,11625,0,1000,72995,0,85620
2010,"3/9/2010 11:25","MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",0.5,50,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","NO",0,2500,39,0,2500,0,0,5039
2010,"3/9/2010 14:15","MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.95,95,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","NO",0,17019,78,0,7967,1000,0,26064
2010,"3/11/2010 10:00","NATURAL FORCE DAMAGE","TEMPERATURE",0,0,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","NO",0,1000,60,0,5000,2000,0,8060
2010,"3/14/2010 22:04","NATURAL FORCE DAMAGE","OTHER NATURAL FORCE DAMAGE",70,60.87,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","YES",65.17,50,9000,2500,340000,160000,0,511550
2010,"3/15/2010 9:30","MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0.12,100,"ONSHORE","TANK","CRUDE OIL","NO","NO","NO",0,0,10,0,755,0,0,765
2010,"3/15/2010 10:00","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0,0,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","NO",0,1000,160,0,0,0,0,1160
2010,"3/15/2010 15:55","MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",0.6,100,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","YES",2.5,0,46,0,10999,452,0,11497
2011,"1/19/2011 12:30","CORROSION","INTERNAL",1035,82.8,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","YES",70.5,83560,90304,0,101501,541365,0,816730
2010,"11/16/2010 16:46","CORROSION","EXTERNAL",535,51.94,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","YES",160.52,375000,40000,25000,524000,25000,0,989000
2011,"9/12/2011 13:45","CORROSION","EXTERNAL",500,100,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,147800,0,0,450000,1984300,0,2582100
2010,"3/21/2010 1:00","MATERIAL/WELD/EQUIP FAILURE","DEFECTIVE OR LOOSE TUBING/FITTING",0,0,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","YES",71.25,12000,6500,0,120000,20000,0,158500
2010,"3/22/2010 13:30","MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",0,0,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","NO",0,70000,30,0,36000,0,0,106030
2015,"1/21/2015 12:30","CORROSION","EXTERNAL",480,36.92,"ONSHORE","TANK","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","YES",0,0,166000,0,400000,250000,2000000,2816000
2010,"3/23/2010 18:30","MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0,0,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","YES",2.93,500,20,0,2000,1000,0,3520
2010,"3/24/2010 8:00","MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0,0,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO",NA,0,600,0,0,400,350,0,1350
2010,"3/24/2010 13:30","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0,0,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO",NA,0,400,415,0,3400,0,0,4215
2010,"3/25/2010 13:42","MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",1,0.06,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","YES",70,0,0,0,0,100000,0,100000
2010,"3/25/2010 17:36","OTHER OUTSIDE FORCE DAMAGE","OTHER OUTSIDE FORCE DAMAGE",5.7,100,"OFFSHORE",NA,"CRUDE OIL","NO","NO","YES",865.17,2200000,1260,0,0,0,0,2201260
2010,"3/26/2010 13:50","INCORRECT OPERATION","OTHER INCORRECT OPERATION",0.11,15.49,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","YES",1,0,58,0,0,30000,0,30058
2010,"3/27/2010 22:30","INCORRECT OPERATION","PIPELINE/EQUIPMENT OVERPRESSURED",95,33.22,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,15000,75000,0,212000,100000,35000,437000
2014,"5/7/2014 16:15","CORROSION","EXTERNAL",445.27,59.84,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","YES",972.62,300000,120000,0,250000,800000,0,1470000
2010,"3/29/2010 18:45","EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",0,0,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","YES",41.28,6900,1140,0,22550,84700,0,115290
2010,"3/30/2010 14:00","NATURAL FORCE DAMAGE","EARTH MOVEMENT",656,100,"ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","YES",75.22,81600,29000,0,0,0,0,110600
2010,"3/31/2010 9:00","NATURAL FORCE DAMAGE","TEMPERATURE",0,0,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,30,140,0,56000,67226,0,123396
2016,"1/17/2016 14:05","CORROSION","INTERNAL",319,61.46,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,0,19951,0,28000,10000,19951,77902
2010,"4/5/2010 7:55","MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",0,0,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO",NA,0,8000,12,0,0,0,0,8012
2010,"4/5/2010 9:10","INCORRECT OPERATION","PIPELINE/EQUIPMENT OVERPRESSURED",0,0,"ONSHORE","UNDERGROUND","CRUDE OIL","YES","NO","YES",0,0,0,0,0,0,4000000,4000000
2010,"4/5/2010 23:00","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0,0,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","YES",12,2901,249,0,4665,0,0,7815
2010,"4/5/2010 23:45","EXCAVATION DAMAGE","THIRD PARTY EXCAVATION DAMAGE",215,53.75,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","YES",3797.05,2200000,33600,0,8700000,3000000,0,13933600
2010,"4/7/2010 1:46","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0,0,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","YES","NO","YES",0,45000,504,0,35000,20000,0,100504
2010,"4/7/2010 10:45","MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0,0,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","YES",0,14500,90,0,4000,18000,0,36590
2010,"4/8/2010 18:58","NATURAL FORCE DAMAGE","TEMPERATURE",0.17,70.83,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","YES",15.53,0,27,0,0,0,0,27
2010,"4/9/2010 14:00","MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0,0,"ONSHORE","TANK","CRUDE OIL","NO","NO",NA,0,0,30,0,125,125,1500,1780
2010,"4/10/2010 18:40","MATERIAL/WELD/EQUIP FAILURE","CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.02,100,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","YES",324.3,131956,2,0,35946,0,0,167904
2010,"4/12/2010 16:36","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0,0,"ONSHORE","ABOVEGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO",NA,0,3500,424,0,27095,0,0,31019
2010,"4/13/2010 12:01","INCORRECT OPERATION","OTHER INCORRECT OPERATION",0,0,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","YES","NO","NO",0,0,37,0,75,0,35117,35229
2010,"4/13/2010 12:25","MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",0,0,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,0,9,0,0,30008,72952,102969
2015,"6/18/2015 8:09","CORROSION","EXTERNAL",315,100,"ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","NO",0,271645,6383,0,153556,0,7392,438976
2011,"3/14/2011 8:30","CORROSION","EXTERNAL",304,50.67,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO",NA,0,35000,80000,100000,200000,1817739,0,2232739
2010,"4/16/2010 8:14","MATERIAL/WELD/EQUIP FAILURE","NON-THREADED CONNECTION FAILURE",0,0,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,5000,0,0,0,0,0,5000
2010,"4/16/2010 9:35","MATERIAL/WELD/EQUIP FAILURE","PUMP OR PUMP-RELATED EQUIPMENT",0.12,100,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO",NA,0,0,9,0,0,2500,0,2509
2010,"4/17/2010 19:00","MATERIAL/WELD/EQUIP FAILURE","MANUFACTURING-RELATED",1,20,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO","YES",24.17,550000,350,20000,180000,216000,0,966350
2010,"4/20/2010 14:56","MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",0,0,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","YES",21.93,6500,675,500,75000,60000,0,142675
2010,"4/23/2010 16:32","EXCAVATION DAMAGE","PREVIOUS DAMAGE DUE TO EXCAVATION",1659,99.4,"ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","YES",145.35,170034,129618,2460,110000,163297,0,575409
2010,"4/24/2010 19:30","OTHER OUTSIDE FORCE DAMAGE","VEHICLE NOT ENGAGED IN EXCAVATION",0,0,"ONSHORE","UNDERGROUND","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,0,1149,0,46135,0,0,47284
2010,"4/25/2010 9:00","MATERIAL/WELD/EQUIP FAILURE","OTHER EQUIPMENT FAILURE",12,13.19,"ONSHORE","ABOVEGROUND","CRUDE OIL","NO","NO","YES",12.05,0,7018,0,171265,925684,0,1103967
2010,"4/26/2010 9:15","MATERIAL/WELD/EQUIP FAILURE","THREADED CONNECTION/COUPLING FAILURE",0.75,75,"ONSHORE","TANK","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","NO","NO","NO",0,10,100,0,1000,12000,0,13110
2013,"3/9/2013 9:00","CORROSION","INTERNAL",300,5.36,"ONSHORE","UNDERGROUND","CRUDE OIL","NO","NO",NA,0,51814,83000,100000,450000,2700000,0,3384814
2010,"4/26/2010 10:35","MATERIAL/WELD/EQUIP FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT",2,100,"ONSHORE","UNDERGROUND","HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS","NO","NO","YES",4.32,10000,153,2500,13000,92000,0,117653
