Temperature,Flow velocity,CO2 pressure,Internal pressure,Corrosion Inhibitor efficiency,Shear stress,pH,Corrosion rate
50,1.5,1.5,65,50,4,3.9,5.1
50,1.5,1.5,65,60,4,3.9,4.1
50,1.5,1.5,70,40,4,3.9,6.1
50,1.5,1.5,70,50,4,3.9,5.1
50,1.5,1.5,70,60,4,3.9,4.1
50,1.5,2,60,40,4,3.9,7.3
50,1.5,2,60,50,4,3.9,6.1
50,1.5,2,60,60,4,3.9,4.9
50,1.5,2,65,40,4,3.9,7.3
50,1.5,2,65,50,4,3.9,6.1
50,1.5,2,65,60,4,3.9,4.9
50,1.5,2,70,40,4,3.9,7.2
50,1.5,2,70,50,4,3.9,6
50,1.5,2,70,60,4,3.9,4.8
50,1.8,1,60,40,5,4,4.9
50,1.8,1,60,50,5,4,4.1
50,1.8,1,60,60,5,4,3.3
50,1.8,1,65,40,5,4,4.9
50,1.8,1,65,50,5,4,4.1
50,1.8,1,65,60,5,4,3.3
50,1.8,1,70,40,5,4,4.8
50,1.8,1,70,50,5,4,4
50,1.8,1,70,60,5,4,3.2
50,1.8,1.5,60,40,5,3.9,6.4
50,1.8,1.5,60,50,5,3.9,5.3
50,1.8,1.5,60,60,5,3.9,4.3
50,1.8,1.5,65,40,5,3.9,6.3
50,1.8,1.5,65,50,5,3.9,5.3
50,1.8,1.5,65,60,5,3.9,4.2
50,1.8,1.5,70,40,5,3.9,6.3
50,1.8,1.5,70,50,5,3.9,5.2
50,1.8,1.5,70,60,5,3.9,4.2
50,1.8,2,60,40,5,3.9,7.6
50,1.8,2,60,50,5,3.9,6.3
50,1.8,2,60,60,5,3.9,5.1
50,1.8,2,65,40,5,3.9,7.5
50,1.8,2,65,50,5,3.9,6.3
50,1.8,2,65,60,5,3.9,5
50,1.8,2,70,40,5,3.9,7.5
50,1.8,2,70,50,5,3.9,6.2
50,1.8,2,70,60,5,3.9,5
